"First Level","Second Level","Third Level","Taxonomy","Volume","Page","Quote","Notes"
"Alexander, Patrick Proctor","Carlyle Redivivus",,,4,"228-229","no",
"Alexander, Patrick Proctor","Mill and Carlyle",,,4,"211n","no",
"Alfieri, Vittorio","Rosamunda",,,6,142,"no",
"Alfonso, fables of",,,,5,"279n","no",
"All The Year Round","nine Christmas numbers of",,,5,90,"no",
"All The Year Round",,,,2,39,"no",
"Allingham, William","book on the life of Campbell by",,,3,52,"no",
"Allingham, William","book on the life of Campbell by",,,6,132,"no",
"Allingham, William","Day and Night Songs",,,2,367,"no",
"Allingham, William","Day and Night Songs",,,2,374,"no",
"Allingham, William","Diary",,,1,"101n","yes",
"Allingham, William","Diary",,,1,"85n","yes",
"Almaviva","The Marriage of Figaro and The Barber of Seville",,,4,319,"no",
"Ames, Joseph","Typographical Antiquities",,,1,154,"no",
"Amiot, J. translator","Plutarch's Lives",,,4,"270n","no",
"Ampere, Jean Jacques","Cesar, Scenes historiques",,,2,200,"no",
"Andrewe, Laurens","The Noble Lyfe and Natures of Man",,,1,290,"no",
"Andrewe, Laurens","The Noble Lyfe and Natures of Man",,,1,"153-154","no",
"Andrewe, Laurens","The Noble Lyfe and Natures of Man",,,3,323,"no",
"Andrewe, Laurens","The Noble Lyfe and Natures of Man",,,4,124,"no",
"Andrewe, Laurens","The Noble Lyfe and Natures of Man",,,4,"120-121","no",
"Andrewe, Laurens","The Noble Lyfe and Natures of Man",,,5,115,"no",
"Andrewe, Laurens","The Noble Lyfe and Natures of Man",,,5,121,"no",
"Andrewe, Laurens","The Noble Lyfe and Natures of Man",,,5,"237-238","no",
"Andrewe, Laurens","The Noble Lyfe and Natures of Man",,,5,"85-86","no",
"Swinburne, Algernon Charles","Library","rare editions in",,1,101,"no",
"Swinburne, Algernon Charles","Library","rare editions in",,1,"103-104","no",
"Swinburne, Algernon Charles","Library","rare editions in",,1,"153-154","no",
"Swinburne, Algernon Charles","Library","rare editions in",,1,264,"no",
"Swinburne, Algernon Charles","Library","rare editions in",,1,"289-290","no",
"Swinburne, Algernon Charles","Library","rare editions in",,1,306,"no",
"Swinburne, Algernon Charles","Library","rare editions in",,2,254,"no",
"Swinburne, Algernon Charles","Library","rare editions in",,3,123,"no",
"Swinburne, Algernon Charles","Library","rare editions in",,3,148,"no",
"Swinburne, Algernon Charles","Library","rare editions in",,3,150,"no",
"Swinburne, Algernon Charles","Library","rare editions in",,3,162,"no",
"Swinburne, Algernon Charles","Library","rare editions in",,3,"246-247","no",
"Swinburne, Algernon Charles","Library","rare editions in",,3,323,"no",
"Swinburne, Algernon Charles","Library","rare editions in",,4,24,"no",
"Swinburne, Algernon Charles","Library","rare editions in",,4,25,"no",
"Swinburne, Algernon Charles","Library","rare editions in",,4,"36-37","no",
"Swinburne, Algernon Charles","Library","rare editions in",,4,"40-41","no",
"Swinburne, Algernon Charles","Library","rare editions in",,4,104,"no",
"Swinburne, Algernon Charles","Library","rare editions in",,4,110,"no",
"Swinburne, Algernon Charles","Library","rare editions in",,4,"120-121","no",
"Swinburne, Algernon Charles","Library","rare editions in",,4,124,"no",
"Swinburne, Algernon Charles","Library","rare editions in",,4,135,"no",
"Swinburne, Algernon Charles","Library","rare editions in",,4,146,"no",
"Swinburne, Algernon Charles","Library","rare editions in",,4,161,"no",
"Swinburne, Algernon Charles","Library","rare editions in",,4,270,"no",
"Swinburne, Algernon Charles","Library","rare editions in",,4,308,"no",
"Swinburne, Algernon Charles","Library","rare editions in",,5,68,"no",
"Swinburne, Algernon Charles","Library","rare editions in",,5,"85-86","no",
"Swinburne, Algernon Charles","Library","rare editions in",,5,115,"no",
"Swinburne, Algernon Charles","Library","rare editions in",,5,121,"no",
"Swinburne, Algernon Charles","Library","rare editions in",,5,"237-238","no",
"Swinburne, Algernon Charles","Library","rare editions in",,5,252,"no",
"Swinburne, Algernon Charles","Library","rare editions in",,6,10,"no",
"Swinburne, Algernon Charles","Library","rare editions in",,6,41,"no",
"Swinburne, Algernon Charles","Library","rare editions in",,6,"152n","no",
"Swinburne, Algernon Charles","Library","rare editions in",,6,157,"no",
"Swinburne, Algernon Charles","Library","rare editions in",,6,158,"no",
"Swinburne, Algernon Charles","Library","rare editions in",,6,164,"no",
"Swinburne, Algernon Charles","Library","rare editions in",,6,284,"no",
"Swinburne, Algernon Charles","Library","old plays in",,3,45,"no",
"Swinburne, Algernon Charles","Library","gifts of volumes for",,3,"193n","no",
"Swinburne, Algernon Charles","Library","gifts of volumes for",,4,130,"no",
"Swinburne, Algernon Charles","Library","gifts of volumes for",,4,151,"no",
"Swinburne, Algernon Charles","Library","first editions in",,4,164,"no",
"Swinburne, Algernon Charles","Library","first editions in",,5,238,"no",
"Swinburne, Algernon Charles","Library","inscribed volumes in",,4,"217n","no",
"Swinburne, Algernon Charles","Library","inscribed volumes in",,4,261,"no",
"Swinburne, Algernon Charles","Library","inscribed volumes in",,4,"276-277","no",
"Swinburne, Algernon Charles","Library","inscribed volumes in",,5,"88n","no",
"Swinburne, Algernon Charles","Library","inscribed volumes in",,5,137,"no",
"Swinburne, Algernon Charles","Library","inscribed volumes in",,5,147,"no",
"Swinburne, Algernon Charles","Library","inscribed volumes in",,5,191,"no",
"Swinburne, Algernon Charles","Library","inscribed volumes in",,6,"38n","no",
"Swinburne, Algernon Charles","Library","inscribed volumes in",,6,"47n","no",
"Swinburne, Algernon Charles","Library","inscribed volumes in",,6,"55n","no",
"Swinburne, Algernon Charles","Library","inscribed volumes in",,6,"63n","no",
"Swinburne, Algernon Charles","Library","inscribed volumes in",,6,"76n","no",
"Swinburne, Algernon Charles","Library","inscribed volumes in",,6,"101n","no",
"Swinburne, Algernon Charles","Library","inscribed volumes in",,6,"122n","no",
"Swinburne, Algernon Charles","Library","inscribed volumes in",,6,"175n","no",
"Swinburne, Algernon Charles","Library","inscribed volumes in",,6,"180n","no",
"Swinburne, Algernon Charles","Library","inscribed volumes in",,6,"208n","no",
"Swinburne, Algernon Charles","Library","inscribed volumes in",,6,"266n","no",
"Swinburne, Algernon Charles","Library","Shelley collection in",,5,"138n","no",
"Swinburne, Algernon Charles","Library","bibliomania",,5,234,"no",
"Swinburne, Algernon Charles","Library","bibliomania",,5,235,"no",
"Angiolieri, Cecco","“Prolonged Sonnet, ‘When his Clothes were gone’”",,,2,100,"no",
"Anglia",,,,4,"278n","no",
"Annalia Dubrensia",,,,6,10,"no",
"Annalia Dubrensia",,,,6,16,"no",
"Annual Register",,,,1,"71n","yes",
"Apocalypse, The",,,,6,59,"no",
"Arabian Nights",,,,4,285,"no",
"Arabian Nights","Burton’s translation of",,,5,89,"no",
"Aristophanes","The Birds","ACS’ tr. of ‘The Grand Chorus of Birds’",,4,"171-172","no",
"Aristophanes","The Birds","ACS’ tr. of ‘The Grand Chorus of Birds’",,4,180,"no",
"Aristophanes","The Birds","ACS’ tr. of ‘The Grand Chorus of Birds’",,6,207,"no",
"Aristophanes","The Birds","ACS’ tr. of ‘The Grand Chorus of Birds’",,4,187,"no",
"Aristophanes","The Birds","ACS’ tr. of ‘The Grand Chorus of Birds’",,4,189,"no",
"Aristophanes","Lysistrata",,,"1?",320,"no",
"Aristophanes","Lysistrata",,,6,44,"no",
"Aristophanes","Lysistrata",,,5,132,"no",
"Aristophanes","The Clouds",,,6,"125n","no",
"Aristophanes","Thesmophoriazusae",,,6,25,"no",
"Arnault, A. V.","“La Feuille”",,,5,"175n","no",
"Arnold, Edwin","trans. of Hugo’s poem",,,"6?",263,"no",
"Arnold, Edwin","trans. of Hugo’s poem",,,"6?",291,"no",
"Arnold, Matthew","Merope",,,1,115,"no",
"Arnold, Matthew","Merope",,,3,55,"no",
"Arnold, Matthew","Merope",,,1,163,"no",
"Arnold, Matthew","New Poems (1867)",,,1,253,"no",
"Arnold, Matthew","New Poems (1867)",,,1,"269-270","no",
"Arnold, Matthew","New Poems (1867)",,,1,271,"no",
"Arnold, Matthew","New Poems (1867)",,,1,297,"no",
"Arnold, Matthew","New Poems (1867)",,,1,"300-301","no",
"Arnold, Matthew","New Poems (1867)",,,2,255,"no",
"Arnold, Matthew","Schools and Universities on the Continent",,,1,"293-294","no",
"Arnold, Matthew","Culture and Anarchy",,,1,301,"no",
"Arnold, Matthew","Culture and Anarchy",,,6,105,"no",
"Arnold, Matthew","Empedocles on Etna",,,2,122,"yes",
,,,,6,37,"no",
